entity_id,student_activity_code,student_activity_desc,student_particip_desc,activity_office_desc
777338,UHAB,Habitat For Humanity-Berkeley Chapt,Participated,NULL
777368,NULL,NULL,NULL,NULL
777503,GPKT,Phi Kappa Tau,Participated,NULL
777503,LCSP,SLCP-Student Participants,Participated,NULL
777529,EAFRA,Education Abroad Program - France,Participated,NULL
777636,NULL,NULL,NULL,NULL
777644,NULL,NULL,NULL,NULL
777678,NULL,NULL,NULL,NULL
777771,UQG,Queer Grads,Participated,NULL
777891,EASWE,Education Abroad Program - Sweden,Participated,NULL
777908,NULL,NULL,NULL,NULL
777914,NULL,NULL,NULL,NULL
777946,UWON,Wonderworks,Participated,NULL
778102,DSPA,Disabled Student Program Alumni,Participated,User of Service
778102,UQUE,Questioners,Participated,NULL
778240,NULL,NULL,NULL,NULL
778321,GTKF,Tau Kappa Epsilon Fraternity,Participated,NULL
778326,NULL,NULL,NULL,NULL
778360,CVSG,Visitor Services Tour Guide,Participated,NULL
778360,SSRG,AP Senior Class Gift Committee,Participated,NULL
778360,UBLN,Berk League Of Nations Delegate Std,Participated,NULL
778360,UCRK,Crocheting & Knitting Club,Participated,NULL
778360,UECS,Stdts For Dis Of Econ/Soc Org Of UN,Participated,NULL
778360,UGAU,Stdnts For Dis On Gnrl Asmbly Of UN,Participated,NULL
778360,UMUE,Model Untd Nat Econ & Soc Affs Org,Participated,NULL
778360,UNMU,NorCal Model UN Logistical Outreach,Participated,NULL
778360,USPU,Stdnts For Dis Of Spec Cmtes Of UN,Participated,NULL
778360,UTGL,Tour Guide Leadership Team,Participated,NULL
778360,UUC,Unity In Christ,Participated,NULL
778360,UVCM,Victory Campus Ministries,Participated,NULL
778426,EDIF,In Focus,Participated,NULL
778601,NULL,NULL,NULL,NULL
778670,NULL,NULL,NULL,NULL
778741,CLAS,ASUC Officer/Senator,Participated,NULL
778741,GPNX,Phi Nu Xi Multicultural Sorority,Participated,NULL
778741,UPAA,Pilipino American Alliance,Participated,NULL
778741,UPIA,"Pilipino Assn Of Sci, Archs & Engrs",Participated,NULL
778741,VCSO,Cal Summer Orientation (CALSO),Participated,Counselor
778874,DSPA,Disabled Student Program Alumni,Participated,User of Service
778874,EAIRL,Education Abroad Program - Ireland,Participated,NULL
778874,UBSR,Beginning Screenwriting,Participated,NULL
778907,LCSP,SLCP-Student Participants,Participated,NULL
778907,UPHO,The Photography Club,Participated,NULL
778926,SPRL,UC Rally Committee Alumnus,Participated,NULL
779069,NULL,NULL,NULL,NULL
779090,ASC,Athletic Study Center,Participated,NULL
779090,GACO,Alpha Chi Omega,Participated,NULL
779090,LCSP,SLCP-Student Participants,Participated,NULL
779108,NULL,NULL,NULL,NULL
779117,EIP1,PDP Calculus Intensive,Participated,NULL
779117,EIR6,TRSP Transfer Student Services,Participated,NULL
779117,GACI,Acacia,Participated,NULL
779117,LCSP,SLCP-Student Participants,Participated,NULL
779294,EADNK,Education Abroad Program - Denmark,Participated,NULL
779406,EIP1,PDP Calculus Intensive,Participated,NULL
779406,EIR6,TRSP Transfer Student Services,Participated,NULL
779406,MSMB,UC Marching Band Member,Participated,NULL
779408,GDKE,Delta Kappa Epsilon,Participated,NULL
779525,SCCC,Cal Corps Friends and Alumni,Participated,NULL
779525,UDCP,Destination: College Program,Participated,NULL
779525,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
779525,UHOM,Homework Inc,Participated,NULL
779531,NULL,NULL,NULL,NULL
779658,DSPA,Disabled Student Program Alumni,Participated,User of Service
779658,GTEA,TEAM Cal Greek Leadership Program,Participated,NULL
779857,BIBSP,Biology Scholars Program,Participated,NULL
779857,EISA,Educational Opportunity Program,Participated,NULL
779857,RHRV,Rochdale Village Co-Op Resident,Participated,NULL
779857,RHSC,Univ Students Co-op Assoc. Resident,Participated,NULL
779857,UITB,Intertribal Student Council,Participated,NULL
779857,USBR,Summer Bridge Program Participant,Participated,NULL
779880,NULL,NULL,NULL,NULL
779899,EAEGY,Education Abroad Program - Egypt,Participated,NULL
779899,RHI1,2003-2012 I-House Resident,Participated,NULL
779899,RHIH,International House Resident,Participated,NULL
779899,SURF,Summer Undergrad Research Pgm (SURF),Participated,NULL
779899,UIRS,Iranian Students Cultural Org,Participated,NULL
779912,UNER,Nerdnoise,Participated,NULL
779920,NULL,NULL,NULL,NULL
780082,NULL,NULL,NULL,NULL
780168,DSPA,Disabled Student Program Alumni,Participated,User of Service
780168,RHIH,International House Resident,Participated,NULL
780168,RHUV,University (Albany) Village Residnt,Participated,NULL
780169,NULL,NULL,NULL,NULL
780170,NULL,NULL,NULL,NULL
780189,NULL,NULL,NULL,NULL
780287,NULL,NULL,NULL,NULL
780313,NULL,NULL,NULL,NULL
780386,GGPB,Gamma Phi Beta,Participated,NULL
780386,LCSP,SLCP-Student Participants,Participated,NULL
780414,NULL,NULL,NULL,NULL
780445,NULL,NULL,NULL,NULL
780512,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
780534,SCCC,Cal Corps Friends and Alumni,Participated,NULL
780534,UHAB,Habitat For Humanity-Berkeley Chapt,Participated,NULL
780626,NULL,NULL,NULL,NULL
780631,LCSP,SLCP-Student Participants,Participated,NULL
780676,NULL,NULL,NULL,NULL
780697,BUSF,Student Financial Advisory Cmte,Participated,NULL
780697,LCSP,SLCP-Student Participants,Participated,NULL
780697,SCCC,Cal Corps Friends and Alumni,Participated,NULL
780697,UBPT,The Berkeley Project,Participated,NULL
780697,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
780697,UHAB,Habitat For Humanity-Berkeley Chapt,Participated,NULL
780773,EAHKG,Education Abroad Program - Hong Kong,Participated,NULL
780773,LCSP,SLCP-Student Participants,Participated,NULL
780817,NULL,NULL,NULL,NULL
780822,NULL,NULL,NULL,NULL
780870,EAFRA,Education Abroad Program - France,Participated,NULL
780891,NULL,NULL,NULL,NULL
780975,GSPE,Sigma Phi Epsilon Fraternity,Participated,NULL
780975,RHCK,Clark Kerr Resident,Participated,NULL
781056,NULL,NULL,NULL,NULL
781068,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
