entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
484107,NULL,NULL,NULL,NULL
484109,NULL,NULL,NULL,NULL
484110,NULL,NULL,NULL,NULL
484145,NULL,NULL,NULL,NULL
484148,NULL,NULL,NULL,NULL
484181,NULL,NULL,NULL,NULL
484196,NULL,NULL,NULL,NULL
484239,NULL,NULL,NULL,NULL
484270,NULL,NULL,NULL,NULL
484284,NULL,NULL,NULL,NULL
484343,NULL,NULL,NULL,NULL
484344,NULL,NULL,NULL,NULL
484362,NULL,NULL,NULL,NULL
484370,NULL,NULL,NULL,NULL
484384,NULL,NULL,NULL,NULL
484394,NULL,NULL,NULL,NULL
484396,NULL,NULL,NULL,NULL
484439,NULL,NULL,NULL,NULL
484444,NULL,NULL,NULL,NULL
484450,NULL,NULL,NULL,NULL
484469,NULL,NULL,NULL,NULL
484471,NULL,NULL,NULL,NULL
484496,NULL,NULL,NULL,NULL
484536,NULL,NULL,NULL,NULL
484552,NULL,NULL,NULL,NULL
484558,NULL,NULL,NULL,NULL
484569,NULL,NULL,NULL,NULL
484619,NULL,NULL,NULL,NULL
484680,NULL,NULL,NULL,NULL
484684,BV2,CED Advisory Council,Committee Member,Environmental Design
484713,NULL,NULL,NULL,NULL
484732,NULL,NULL,NULL,NULL
484753,NULL,NULL,NULL,NULL
484793,NULL,NULL,NULL,NULL
484808,UVPC,The Cal Parents Ambassadors,Member,Parent Philanthropy & Engagement - UDAR
484842,NULL,NULL,NULL,NULL
484862,NULL,NULL,NULL,NULL
484871,NULL,NULL,NULL,NULL
484876,NULL,NULL,NULL,NULL
484885,NULL,NULL,NULL,NULL
484904,NULL,NULL,NULL,NULL
484917,AU2,Haas Council,Member,Business
484917,MU11,Haas Reunion/Class Volunteer Committee,Member,Business
484921,NULL,NULL,NULL,NULL
484929,NULL,NULL,NULL,NULL
484948,NULL,NULL,NULL,NULL
484949,NULL,NULL,NULL,NULL
484991,NULL,NULL,NULL,NULL
485011,NULL,NULL,NULL,NULL
485035,AU2,Haas Council,Member,Business
485035,AU31,Haas HAN East Bay Chapter Board,Associate Member,Business
485035,AU31,Haas HAN East Bay Chapter Board,Member,Business
485063,NULL,NULL,NULL,NULL
485073,NULL,NULL,NULL,NULL
485101,NULL,NULL,NULL,NULL
485132,AU2,Haas Council,Member,Business
485132,AU2,Haas Council,Officer,Business
485132,AU2,Haas Council,Vice Chair,Business
485132,AU31,Haas HAN East Bay Chapter Board,Associate Member,Business
485132,AU31,Haas HAN East Bay Chapter Board,Board Member,Business
485132,AU64,Haas Dean's Advisory Circle,Member,Business
485132,MU11,Haas Reunion/Class Volunteer Committee,Member,Business
485132,MU5,*Haas Development Council,Member,Business
485147,NULL,NULL,NULL,NULL
485168,NULL,NULL,NULL,NULL
485196,NULL,NULL,NULL,NULL
485228,NULL,NULL,NULL,NULL
485244,NULL,NULL,NULL,NULL
485248,NULL,NULL,NULL,NULL
485254,NULL,NULL,NULL,NULL
485259,NULL,NULL,NULL,NULL
485269,NULL,NULL,NULL,NULL
485280,AU2,Haas Council,Member,Business
485280,MU10,*Haas Class Gift Committee,Member,Business
485280,MU5,*Haas Development Council,Member,Business
485283,NULL,NULL,NULL,NULL
485297,NULL,NULL,NULL,NULL
485339,NULL,NULL,NULL,NULL
485370,BK2,Graduate School of Education Advisory Bo,Member,Education
485373,AU2,Haas Council,Member,Business
485373,MU11,Haas Reunion/Class Volunteer Committee,Member,Business
485410,NULL,NULL,NULL,NULL
485414,NULL,NULL,NULL,NULL
485420,NULL,NULL,NULL,NULL
485461,NULL,NULL,NULL,NULL
485466,NULL,NULL,NULL,NULL
485859,NULL,NULL,NULL,NULL
486182,NULL,NULL,NULL,NULL
486441,NULL,NULL,NULL,NULL
486467,NULL,NULL,NULL,NULL
486469,NULL,NULL,NULL,NULL
486478,NULL,NULL,NULL,NULL
486481,NULL,NULL,NULL,NULL
486516,NULL,NULL,NULL,NULL
486533,NULL,NULL,NULL,NULL
486573,NULL,NULL,NULL,NULL
486575,NULL,NULL,NULL,NULL
486576,NULL,NULL,NULL,NULL
486605,NULL,NULL,NULL,NULL
486676,NULL,NULL,NULL,NULL
486722,NULL,NULL,NULL,NULL
486748,NULL,NULL,NULL,NULL
486760,NULL,NULL,NULL,NULL
486839,NULL,NULL,NULL,NULL
486840,AU2,Haas Council,Officer,Business
486869,NULL,NULL,NULL,NULL
486976,NULL,NULL,NULL,NULL
487043,NULL,NULL,NULL,NULL
487049,NULL,NULL,NULL,NULL
487187,NULL,NULL,NULL,NULL
487270,NULL,NULL,NULL,NULL
487287,NULL,NULL,NULL,NULL
487290,NULL,NULL,NULL,NULL
487353,NULL,NULL,NULL,NULL
487355,NULL,NULL,NULL,NULL
487425,NULL,NULL,NULL,NULL
487434,NULL,NULL,NULL,NULL
487472,NULL,NULL,NULL,NULL
487525,NULL,NULL,NULL,NULL
487572,AIA2,Berkeley China Initiative Advisory Board,Board Member,East Asian Studies Institute
487650,NULL,NULL,NULL,NULL
487686,NULL,NULL,NULL,NULL
487688,NULL,NULL,NULL,NULL
487756,NULL,NULL,NULL,NULL
487780,NULL,NULL,NULL,NULL
487805,NULL,NULL,NULL,NULL
487831,NULL,NULL,NULL,NULL
487837,NULL,NULL,NULL,NULL
487842,NULL,NULL,NULL,NULL
487845,NULL,NULL,NULL,NULL
487922,NULL,NULL,NULL,NULL
487935,NULL,NULL,NULL,NULL
487993,NULL,NULL,NULL,NULL
488079,NULL,NULL,NULL,NULL
488305,NULL,NULL,NULL,NULL
488312,NULL,NULL,NULL,NULL
488321,NULL,NULL,NULL,NULL
488361,NULL,NULL,NULL,NULL
488381,BVACA,BoV Academic Affairs Committee,Member,Chancellor
488381,BVRCH,BoV-UCBF Research Committee,Member,Chancellor
488381,ENMET,M.E.T. Founding Board,Member,Engineering
488381,NCSC,National Campaign Steering Committee,Member,Univ Development/Alumni Relations - UDAR
488381,UC5,Board of Visitors,Member,Chancellor
488381,UC7,Endowment Minima Task Force,Member,Chancellor
488381,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
488381,UT2,UCBF Elected Trustees - Term 2,Trustee,UC Berkeley Foundation
488381,UT3,UCBF Elected Trustees - Term 3,Trustee,UC Berkeley Foundation
488381,UTIT,UCBF Trusts and Annuities Subcommittee,Committee Member,UC Berkeley Foundation
488391,NULL,NULL,NULL,NULL
488397,NULL,NULL,NULL,NULL
488470,NULL,NULL,NULL,NULL
488500,NULL,NULL,NULL,NULL
488510,NULL,NULL,NULL,NULL
488517,NULL,NULL,NULL,NULL
488526,NULL,NULL,NULL,NULL
488558,NULL,NULL,NULL,NULL
488572,NULL,NULL,NULL,NULL
488583,BCH2,Chemistry Alumni Steering Team,Committee Member,Chemistry
488583,BCH3,Chemistry Alumni Era Committee,Committee Member,Chemistry
488603,NULL,NULL,NULL,NULL
488637,NULL,NULL,NULL,NULL
488656,NULL,NULL,NULL,NULL
488667,NULL,NULL,NULL,NULL
488677,NULL,NULL,NULL,NULL
488735,NULL,NULL,NULL,NULL
488742,NULL,NULL,NULL,NULL
488796,NULL,NULL,NULL,NULL
488803,NULL,NULL,NULL,NULL
488838,NULL,NULL,NULL,NULL
488960,NULL,NULL,NULL,NULL
489010,NULL,NULL,NULL,NULL
489021,NULL,NULL,NULL,NULL
489039,NULL,NULL,NULL,NULL
489060,NULL,NULL,NULL,NULL
489071,NULL,NULL,NULL,NULL
489101,NULL,NULL,NULL,NULL
489105,NULL,NULL,NULL,NULL
489201,NULL,NULL,NULL,NULL
489223,NULL,NULL,NULL,NULL
489225,NULL,NULL,NULL,NULL
489228,NULL,NULL,NULL,NULL
489238,NULL,NULL,NULL,NULL
489248,NULL,NULL,NULL,NULL
489275,NULL,NULL,NULL,NULL
489287,NULL,NULL,NULL,NULL
489320,NULL,NULL,NULL,NULL
489334,NULL,NULL,NULL,NULL
489344,NULL,NULL,NULL,NULL
489348,NULL,NULL,NULL,NULL
489351,R1993,Class of 1993 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
489351,UV3,All Class Giving Council,Volunteer,Milestone & Next Gen Philanthropy - UDAR
489352,NULL,NULL,NULL,NULL
489397,NULL,NULL,NULL,NULL
489410,NULL,NULL,NULL,NULL
489473,NULL,NULL,NULL,NULL
489477,NULL,NULL,NULL,NULL
489486,NULL,NULL,NULL,NULL
489515,NULL,NULL,NULL,NULL
489552,NULL,NULL,NULL,NULL
489566,NULL,NULL,NULL,NULL
489569,NULL,NULL,NULL,NULL
489573,NULL,NULL,NULL,NULL
489596,NULL,NULL,NULL,NULL
489632,AA3,CAA Class Reunion Host Committee,Volunteer,Cal Alumni Association
489632,R1993,Class of 1993 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
489663,NULL,NULL,NULL,NULL
489675,NULL,NULL,NULL,NULL
489689,NULL,NULL,NULL,NULL
489746,NULL,NULL,NULL,NULL
489749,NULL,NULL,NULL,NULL
489751,NULL,NULL,NULL,NULL
489786,NULL,NULL,NULL,NULL
489794,NULL,NULL,NULL,NULL
489798,NULL,NULL,NULL,NULL
489805,NULL,NULL,NULL,NULL
489813,NULL,NULL,NULL,NULL
489823,NULL,NULL,NULL,NULL
489829,NULL,NULL,NULL,NULL
489849,NULL,NULL,NULL,NULL
489891,NULL,NULL,NULL,NULL
489892,NULL,NULL,NULL,NULL
489894,NULL,NULL,NULL,NULL
489903,BA1,CAA Board of Directors,Board Member,Cal Alumni Association
489903,UVPC,The Cal Parents Ambassadors,Member,Parent Philanthropy & Engagement - UDAR
489910,UVPC,The Cal Parents Ambassadors,Member,Parent Philanthropy & Engagement - UDAR
489918,NULL,NULL,NULL,NULL
489937,NULL,NULL,NULL,NULL
489938,NULL,NULL,NULL,NULL
489940,NULL,NULL,NULL,NULL
489941,NULL,NULL,NULL,NULL
489950,NULL,NULL,NULL,NULL
490020,NULL,NULL,NULL,NULL
490054,NULL,NULL,NULL,NULL
490111,NULL,NULL,NULL,NULL
490134,NULL,NULL,NULL,NULL
