entity_id,affil_code,affil_code_desc,affil_level_code_desc,affil_status_desc
329791,CAFCA,Friends of CAA,Friend,Current
329792,BAMFR,Followers of BAM/PFA,Friend,Current
329792,CAFCA,Friends of CAA,Friend,Current
329792,RD1,CAA Art Alumni Group,Member,Current
329793,LWLC,Legal Clerkship,Affiliate,Former
329803,ATFAT,Friends of Athletics,Friend,Current
329803,CAFCA,Friends of CAA,Friend,Current
329803,MA3,Cal Advocate,Advocate,Current
329803,RC15,CAA Chicanx Latinx Alumni Assoc Nor Cal,Member,Current
329803,RC5,*CAA La Raza Alumni Club-Defunct,Member,Former
329803,TLOLI,Osher Lifelong Learning Institute,Member,Former
329810,ATFAT,Friends of Athletics,Friend,Current
329810,CAFCA,Friends of CAA,Friend,Current
329810,MB9,Friends of Cal Soccer,Member,Current
329811,ATFAT,Friends of Athletics,Friend,Current
329811,BAMFR,Followers of BAM/PFA,Friend,Current
329811,CAFCA,Friends of CAA,Friend,Current
329811,MA3,Cal Advocate,Advocate,Current
329811,MB3,Big C Society,Member,Current
329811,MB9,Friends of Cal Soccer,Member,Current
329850,MA18,CAA Alumni Leadership Scholarship Interv,Volunteer,Former
329850,URCR,@Cal Registrant,Member,Current
329858,MA3,Cal Advocate,Advocate,Current
329865,ATFAT,Friends of Athletics,Friend,Current
329865,CAFCA,Friends of CAA,Friend,Current
329867,MA12,CAA Lair of the Golden Bear Camper,Member,Former
329867,MA3,Cal Advocate,Advocate,Current
329869,NULL,NULL,NULL,NULL
329884,CAFCA,Friends of CAA,Friend,Current
329884,URCR,@Cal Registrant,Member,Current
329899,ATFAT,Friends of Athletics,Friend,Current
329899,CAFCA,Friends of CAA,Friend,Current
329899,MB3,Big C Society,Member,Current
329902,CAFCA,Friends of CAA,Friend,Current
329926,MA12,CAA Lair of the Golden Bear Camper,Member,Former
329926,URCR,@Cal Registrant,Member,Current
329933,CAFCA,Friends of CAA,Friend,Current
329933,MA12,CAA Lair of the Golden Bear Camper,Member,Former
329933,MA3,Cal Advocate,Advocate,Current
329938,CAFCA,Friends of CAA,Friend,Current
329938,GPDA,Gift Planning Donor Advisor,Member,Current
329938,MU1,*Haas Cal Business Alumni Member,Member,Former
329938,URCR,@Cal Registrant,Member,Current
329946,NULL,NULL,NULL,NULL
329962,CAFCA,Friends of CAA,Friend,Current
329963,ATFAT,Friends of Athletics,Friend,Current
329963,MA3,Cal Advocate,Advocate,Current
329963,MB3,Big C Society,Member,Current
329963,MB8,Cal Men's Tennis Team Mbrs & Friend,Member,Current
329964,ATFAT,Friends of Athletics,Friend,Current
329964,CAFCA,Friends of CAA,Friend,Current
329964,CAFPC,CAA Friends of Pinecrest,Member,Current
329964,MA12,CAA Lair of the Golden Bear Camper,Member,Former
329964,RC00,CAA Tri-Valley Cal Alumni Club,Member,Current
329973,CAFCA,Friends of CAA,Friend,Current
329973,MA18,CAA Alumni Leadership Scholarship Interv,Volunteer,Former
329973,MA3,Cal Advocate,Advocate,Current
329973,OC6,CAA Prytanean Alumnae,Member,Current
329973,RC62,CAA Cal Alumni Club of Washington DC,Member,Former
329973,URCR,@Cal Registrant,Member,Current
329989,CAFCA,Friends of CAA,Friend,Current
329989,URCR,@Cal Registrant,Member,Current
329998,CACSP,CAA The Berkeley Network,Member,Current
329998,CAFCA,Friends of CAA,Friend,Current
329998,URCR,@Cal Registrant,Member,Current
330013,CAFCA,Friends of CAA,Friend,Current
330013,MA3,Cal Advocate,Advocate,Current
330013,URCR,@Cal Registrant,Member,Current
330024,ATFAT,Friends of Athletics,Friend,Current
330024,CAFCA,Friends of CAA,Friend,Current
330024,CAFPC,CAA Friends of Pinecrest,Member,Current
330024,MA12,CAA Lair of the Golden Bear Camper,Member,Former
330024,MA13,CAA Lair Young Alumni Weekend,Staff,Former
330024,MA20,*CAA Lair of the Bear Campaign Volunteer,Member,Current
330024,OC1,Order of the Golden Bear,Member,Current
330024,RC32,CAA Cal Spirit Alumni Club,Member,Current
330024,RC9,*CAA Club Presidents,Past President,Former
330024,URCR,@Cal Registrant,Member,Current
330031,AU67,Haas Center for Responsible Business,Friend,Current
330031,CHECM,Chemistry CHEMillenium Era,Member,Current
330031,MA3,Cal Advocate,Advocate,Current
330031,MU15,*Haas South Asia Alumni Club,Member,Former
330031,URCR,@Cal Registrant,Member,Current
330037,MA3,Cal Advocate,Advocate,Current
330058,CAFCA,Friends of CAA,Friend,Current
330058,RC92,CAA Cal Alumni Club of Sacramento,Member,Current
330059,NULL,NULL,NULL,NULL
330084,CAFCA,Friends of CAA,Friend,Current
330084,MA12,CAA Lair of the Golden Bear Camper,Member,Former
330091,BUCMG,Haas Career Management Group,Counselee,Former
330091,CACSP,CAA The Berkeley Network,Member,Current
330091,CAFCA,Friends of CAA,Friend,Current
330091,MA12,CAA Lair of the Golden Bear Camper,Member,Former
330091,MBAAA,Haas MBA Alumni Audit Program,Alumnus/Alumna,Former
330091,URCR,@Cal Registrant,Member,Current
330099,CAFCA,Friends of CAA,Friend,Current
330099,MA3,Cal Advocate,Advocate,Former
330103,CAFCA,Friends of CAA,Friend,Current
330103,MA12,CAA Lair of the Golden Bear Camper,Member,Current
330103,MA3,Cal Advocate,Advocate,Current
330103,RC80,CAA Lamorinda Golden Bears,Member,Current
330128,CHECM,Chemistry CHEMillenium Era,Member,Current
330128,MA3,Cal Advocate,Advocate,Current
330143,CAFCA,Friends of CAA,Friend,Current
330159,ATFAT,Friends of Athletics,Friend,Current
330159,CAFCA,Friends of CAA,Friend,Current
330159,MA3,Cal Advocate,Advocate,Current
330159,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
330179,ATFAT,Friends of Athletics,Friend,Current
330179,EXMBA,Haas Executive MBA Program,Host,Current
330179,MA3,Cal Advocate,Advocate,Current
330179,URCR,@Cal Registrant,Member,Current
330184,CACSP,CAA The Berkeley Network,Member,Current
330184,CAFCA,Friends of CAA,Friend,Current
330184,MA3,Cal Advocate,Advocate,Current
330184,URCR,@Cal Registrant,Member,Current
330188,ATFAT,Friends of Athletics,Friend,Current
330188,BUCMG,Haas Career Management Group,Counselee,Former
330188,CAFCA,Friends of CAA,Friend,Current
330188,MA18,CAA Alumni Leadership Scholarship Interv,Volunteer,Former
330188,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
330188,RC13,*CAA Bay Area Young Blues-Defunct,Member,Former
330188,RC15,CAA Chicanx Latinx Alumni Assoc Nor Cal,Member,Current
