entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
797057,NULL,NULL,NULL,NULL
797069,NULL,NULL,NULL,NULL
797091,NULL,NULL,NULL,NULL
797100,NULL,NULL,NULL,NULL
797127,NULL,NULL,NULL,NULL
797132,NULL,NULL,NULL,NULL
797141,NULL,NULL,NULL,NULL
797148,NULL,NULL,NULL,NULL
797150,NULL,NULL,NULL,NULL
797159,NULL,NULL,NULL,NULL
797162,NULL,NULL,NULL,NULL
797165,NULL,NULL,NULL,NULL
797166,NULL,NULL,NULL,NULL
797175,NULL,NULL,NULL,NULL
797187,NULL,NULL,NULL,NULL
797193,NULL,NULL,NULL,NULL
797342,R2006,Class of 2006 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
797384,NULL,NULL,NULL,NULL
797424,NULL,NULL,NULL,NULL
797442,NULL,NULL,NULL,NULL
797447,NULL,NULL,NULL,NULL
797454,NULL,NULL,NULL,NULL
797456,NULL,NULL,NULL,NULL
797458,NULL,NULL,NULL,NULL
797460,NULL,NULL,NULL,NULL
797468,NULL,NULL,NULL,NULL
797472,NULL,NULL,NULL,NULL
797474,NULL,NULL,NULL,NULL
797532,NULL,NULL,NULL,NULL
797548,NULL,NULL,NULL,NULL
797550,NULL,NULL,NULL,NULL
797551,NULL,NULL,NULL,NULL
797648,NULL,NULL,NULL,NULL
797674,NULL,NULL,NULL,NULL
797681,NULL,NULL,NULL,NULL
797705,NULL,NULL,NULL,NULL
797741,NULL,NULL,NULL,NULL
797747,NULL,NULL,NULL,NULL
797756,NULL,NULL,NULL,NULL
797765,NULL,NULL,NULL,NULL
797768,NULL,NULL,NULL,NULL
797773,NULL,NULL,NULL,NULL
797789,NULL,NULL,NULL,NULL
797794,NULL,NULL,NULL,NULL
797797,NULL,NULL,NULL,NULL
797812,NULL,NULL,NULL,NULL
797820,NULL,NULL,NULL,NULL
797821,NULL,NULL,NULL,NULL
797822,NULL,NULL,NULL,NULL
797826,NULL,NULL,NULL,NULL
797828,NULL,NULL,NULL,NULL
797833,NULL,NULL,NULL,NULL
797837,NULL,NULL,NULL,NULL
797839,NULL,NULL,NULL,NULL
797888,NULL,NULL,NULL,NULL
797925,NULL,NULL,NULL,NULL
797929,NULL,NULL,NULL,NULL
797930,NULL,NULL,NULL,NULL
797934,NULL,NULL,NULL,NULL
797949,NULL,NULL,NULL,NULL
797955,NULL,NULL,NULL,NULL
797987,NULL,NULL,NULL,NULL
797992,NULL,NULL,NULL,NULL
797993,NULL,NULL,NULL,NULL
797995,NULL,NULL,NULL,NULL
797996,NULL,NULL,NULL,NULL
798008,NULL,NULL,NULL,NULL
798017,NULL,NULL,NULL,NULL
798025,NULL,NULL,NULL,NULL
798054,NULL,NULL,NULL,NULL
798055,NULL,NULL,NULL,NULL
798056,NULL,NULL,NULL,NULL
798077,NULL,NULL,NULL,NULL
798112,NULL,NULL,NULL,NULL
798138,NULL,NULL,NULL,NULL
798154,NULL,NULL,NULL,NULL
798186,NULL,NULL,NULL,NULL
798187,NULL,NULL,NULL,NULL
