entity_id,awd_honor_code,awd_honor_desc
604445,NULL,NULL
604446,NULL,NULL
604490,NULL,NULL
604495,NULL,NULL
604503,NULL,NULL
604507,NULL,NULL
604508,NULL,NULL
604510,NULL,NULL
604512,NULL,NULL
604532,NULL,NULL
604557,NULL,NULL
604597,NULL,NULL
604612,NULL,NULL
604615,NULL,NULL
604633,NULL,NULL
604635,NULL,NULL
604648,NULL,NULL
604653,NULL,NULL
604655,NULL,NULL
604671,NULL,NULL
604673,NULL,NULL
604678,NULL,NULL
604683,NULL,NULL
604692,NULL,NULL
604693,NULL,NULL
604709,NULL,NULL
604713,NULL,NULL
604728,NULL,NULL
604742,RCS,Regents'/Chancellor's Scholar Recipient
604751,NULL,NULL
604755,NULL,NULL
604764,NULL,NULL
604774,NULL,NULL
604775,NULL,NULL
604785,NULL,NULL
604788,NULL,NULL
604790,NULL,NULL
604797,NULL,NULL
604799,NULL,NULL
604803,NULL,NULL
604811,NULL,NULL
604819,NULL,NULL
604828,NULL,NULL
604834,NULL,NULL
604844,NULL,NULL
604846,NULL,NULL
604847,NULL,NULL
604860,NULL,NULL
604861,NULL,NULL
604875,NULL,NULL
604877,NULL,NULL
604880,NULL,NULL
604888,PBK,Phi Beta Kappa
604901,NULL,NULL
604904,NULL,NULL
604914,NULL,NULL
604915,NULL,NULL
604916,NULL,NULL
604918,NULL,NULL
604922,NULL,NULL
604935,NULL,NULL
604937,NULL,NULL
604943,NULL,NULL
604946,NULL,NULL
604949,NULL,NULL
604965,NULL,NULL
604966,NULL,NULL
604974,NULL,NULL
604976,NULL,NULL
604997,NULL,NULL
604998,NULL,NULL
605000,NULL,NULL
605003,NULL,NULL
605019,NULL,NULL
605024,EJA,Equal Justice America Summer Fellowship
605027,NULL,NULL
605030,NULL,NULL
605031,NULL,NULL
605048,NULL,NULL
605055,NULL,NULL
605060,NULL,NULL
605075,NULL,NULL
605076,NULL,NULL
605087,RCS,Regents'/Chancellor's Scholar Recipient
605089,NULL,NULL
605091,NULL,NULL
605093,NULL,NULL
605094,PBK,Phi Beta Kappa
605098,NULL,NULL
605099,NULL,NULL
605121,NULL,NULL
605122,NULL,NULL
605123,NULL,NULL
605125,NULL,NULL
605129,NULL,NULL
605133,NULL,NULL
605138,NULL,NULL
605140,NULL,NULL
605143,NULL,NULL
605150,NULL,NULL
605155,NULL,NULL
605157,NULL,NULL
605161,NULL,NULL
605191,NULL,NULL
605196,NULL,NULL
605197,NULL,NULL
605204,NULL,NULL
605208,NULL,NULL
605227,NULL,NULL
605231,NULL,NULL
605239,NULL,NULL
605241,NULL,NULL
605258,NULL,NULL
605271,NULL,NULL
605278,NULL,NULL
605285,NULL,NULL
605286,NULL,NULL
605295,NULL,NULL
605296,EJA,Equal Justice America Summer Fellowship
605296,PBK,Phi Beta Kappa
605300,NULL,NULL
605308,NULL,NULL
605323,NULL,NULL
605334,NULL,NULL
605341,NULL,NULL
605353,NULL,NULL
605357,NULL,NULL
605358,NULL,NULL
605359,NULL,NULL
605366,NULL,NULL
605378,RCS,Regents'/Chancellor's Scholar Recipient
605387,NULL,NULL
605390,NULL,NULL
605398,NULL,NULL
605399,NULL,NULL
605402,NULL,NULL
605412,NULL,NULL
605417,NULL,NULL
605428,NULL,NULL
605429,NULL,NULL
605432,NULL,NULL
605449,NULL,NULL
605455,NULL,NULL
605457,NULL,NULL
605458,NULL,NULL
605477,NULL,NULL
605485,NULL,NULL
605486,NULL,NULL
605499,NULL,NULL
605502,NULL,NULL
605503,NULL,NULL
605508,NULL,NULL
605516,NULL,NULL
605524,NULL,NULL
605528,NULL,NULL
605541,NULL,NULL
605548,NULL,NULL
605549,NULL,NULL
605557,NULL,NULL
605559,NULL,NULL
605561,NULL,NULL
605566,NULL,NULL
605575,NULL,NULL
605586,NULL,NULL
605592,NULL,NULL
605617,NULL,NULL
605618,NULL,NULL
605619,NULL,NULL
605621,NULL,NULL
605628,NULL,NULL
605631,NULL,NULL
605636,NULL,NULL
605643,NULL,NULL
605646,NULL,NULL
605647,PBK,Phi Beta Kappa
605685,NULL,NULL
605687,NULL,NULL
605690,NULL,NULL
605695,NULL,NULL
605699,NULL,NULL
605700,NULL,NULL
605705,NULL,NULL
605708,NULL,NULL
605711,NULL,NULL
