entity_id,sport_code,sport_desc
872770,NULL,NULL
872772,NULL,NULL
872775,NULL,NULL
872777,NULL,NULL
872779,NULL,NULL
872781,NULL,NULL
872782,NULL,NULL
872783,NULL,NULL
872785,NULL,NULL
872786,NULL,NULL
872788,NULL,NULL
872790,NULL,NULL
872791,NULL,NULL
872792,NULL,NULL
872793,NULL,NULL
872794,NULL,NULL
872797,NULL,NULL
872798,NULL,NULL
872799,NULL,NULL
872800,NULL,NULL
872801,NULL,NULL
872803,NULL,NULL
872807,NULL,NULL
872808,NULL,NULL
872810,NULL,NULL
872815,NULL,NULL
872816,NULL,NULL
872817,NULL,NULL
872818,NULL,NULL
872819,NULL,NULL
872820,NULL,NULL
872823,NULL,NULL
872825,NULL,NULL
872826,NULL,NULL
872827,NULL,NULL
872830,NULL,NULL
872833,NULL,NULL
872834,NULL,NULL
872837,NULL,NULL
872839,NULL,NULL
872841,NULL,NULL
872843,NULL,NULL
872845,NULL,NULL
872854,NULL,NULL
872858,NULL,NULL
872862,NULL,NULL
872864,NULL,NULL
872865,NULL,NULL
872870,NULL,NULL
872871,NULL,NULL
872873,NULL,NULL
872874,NULL,NULL
872875,NULL,NULL
872876,NULL,NULL
872880,NULL,NULL
872883,NULL,NULL
872884,NULL,NULL
872889,NULL,NULL
872890,NULL,NULL
872892,NULL,NULL
872895,NULL,NULL
872900,NULL,NULL
872903,NULL,NULL
872905,NULL,NULL
872909,NULL,NULL
872910,NULL,NULL
872911,NULL,NULL
872917,NULL,NULL
872918,NULL,NULL
872922,NULL,NULL
872923,NULL,NULL
872927,NULL,NULL
872928,NULL,NULL
872929,NULL,NULL
872932,NULL,NULL
872933,NULL,NULL
872934,NULL,NULL
872938,NULL,NULL
872940,NULL,NULL
872941,NULL,NULL
872942,NULL,NULL
872945,NULL,NULL
872946,NULL,NULL
872953,NULL,NULL
872955,NULL,NULL
872957,NULL,NULL
872960,NULL,NULL
872961,NULL,NULL
872962,NULL,NULL
872964,NULL,NULL
872966,NULL,NULL
872967,NULL,NULL
872968,NULL,NULL
872969,NULL,NULL
872970,NULL,NULL
872971,NULL,NULL
872974,NULL,NULL
872975,NULL,NULL
872976,NULL,NULL
872980,NULL,NULL
872981,NULL,NULL
872982,NULL,NULL
872987,NULL,NULL
872988,NULL,NULL
872990,NULL,NULL
872991,NULL,NULL
872992,NULL,NULL
872993,NULL,NULL
873000,NULL,NULL
873001,NULL,NULL
873003,NULL,NULL
873004,NULL,NULL
873005,NULL,NULL
873006,NULL,NULL
873007,NULL,NULL
